periodo_id,anio,mes_numero,mes_nombre,periodo_fecha
1,2017,4,Abril,2017-04-01
2,2017,5,Mayo,2017-05-01
3,2017,6,Junio,2017-06-01
4,2017,7,Julio,2017-07-01
5,2017,8,Agosto,2017-08-01
6,2017,9,Septiembre,2017-09-01
7,2017,10,Octubre,2017-10-01
8,2017,11,Noviembre,2017-11-01
9,2017,12,Diciembre,2017-12-01
10,2018,1,Enero,2018-01-01
11,2018,2,Febrero,2018-02-01
12,2018,3,Marzo,2018-03-01
13,2018,4,Abril,2018-04-01
14,2018,5,Mayo,2018-05-01
15,2018,6,Junio,2018-06-01
16,2018,7,Julio,2018-07-01
17,2018,8,Agosto,2018-08-01
18,2018,9,Septiembre,2018-09-01
19,2018,10,Octubre,2018-10-01
20,2018,11,Noviembre,2018-11-01
21,2018,12,Diciembre,2018-12-01
22,2019,1,Enero,2019-01-01
23,2019,2,Febrero,2019-02-01
24,2019,3,Marzo,2019-03-01
25,2019,4,Abril,2019-04-01
26,2019,5,Mayo,2019-05-01
27,2019,6,Junio,2019-06-01
28,2019,7,Julio,2019-07-01
29,2019,8,Agosto,2019-08-01
30,2019,9,Septiembre,2019-09-01
31,2019,10,Octubre,2019-10-01
32,2019,11,Noviembre,2019-11-01
33,2019,12,Diciembre,2019-12-01
34,2020,1,Enero,2020-01-01
35,2020,2,Febrero,2020-02-01
36,2020,3,Marzo,2020-03-01
37,2020,4,Abril,2020-04-01
38,2020,5,Mayo,2020-05-01
39,2020,6,Junio,2020-06-01
40,2020,7,Julio,2020-07-01
41,2020,8,Agosto,2020-08-01
42,2020,9,Septiembre,2020-09-01
43,2020,10,Octubre,2020-10-01
44,2020,11,Noviembre,2020-11-01
45,2020,12,Diciembre,2020-12-01
46,2021,1,Enero,2021-01-01
47,2021,2,Febrero,2021-02-01
48,2021,3,Marzo,2021-03-01
49,2021,4,Abril,2021-04-01
50,2021,5,Mayo,2021-05-01
51,2021,6,Junio,2021-06-01
52,2021,7,Julio,2021-07-01
53,2021,8,Agosto,2021-08-01
54,2021,9,Septiembre,2021-09-01
55,2021,10,Octubre,2021-10-01
56,2021,11,Noviembre,2021-11-01
57,2021,12,Diciembre,2021-12-01
58,2022,1,Enero,2022-01-01
59,2022,2,Febrero,2022-02-01
60,2022,3,Marzo,2022-03-01
61,2022,4,Abril,2022-04-01
62,2022,5,Mayo,2022-05-01
63,2022,6,Junio,2022-06-01
64,2022,7,Julio,2022-07-01
65,2022,8,Agosto,2022-08-01
66,2022,9,Septiembre,2022-09-01
67,2022,10,Octubre,2022-10-01
68,2022,11,Noviembre,2022-11-01
69,2022,12,Diciembre,2022-12-01
70,2023,1,Enero,2023-01-01
71,2023,2,Febrero,2023-02-01
72,2023,3,Marzo,2023-03-01
73,2023,4,Abril,2023-04-01
74,2023,5,Mayo,2023-05-01
75,2023,6,Junio,2023-06-01
76,2023,7,Julio,2023-07-01
77,2023,8,Agosto,2023-08-01
78,2023,9,Septiembre,2023-09-01
79,2023,10,Octubre,2023-10-01
80,2023,11,Noviembre,2023-11-01
81,2023,12,Diciembre,2023-12-01
82,2024,1,Enero,2024-01-01
83,2024,2,Febrero,2024-02-01
84,2024,3,Marzo,2024-03-01
85,2024,4,Abril,2024-04-01
86,2024,5,Mayo,2024-05-01
87,2024,6,Junio,2024-06-01
88,2024,7,Julio,2024-07-01
89,2024,8,Agosto,2024-08-01
90,2024,9,Septiembre,2024-09-01
91,2024,10,Octubre,2024-10-01
92,2024,11,Noviembre,2024-11-01
93,2024,12,Diciembre,2024-12-01
94,2025,1,Enero,2025-01-01
95,2025,2,Febrero,2025-02-01
96,2025,3,Marzo,2025-03-01
97,2025,4,Abril,2025-04-01
98,2025,5,Mayo,2025-05-01
99,2025,6,Junio,2025-06-01
100,2025,7,Julio,2025-07-01
101,2025,8,Agosto,2025-08-01
102,2025,9,Septiembre,2025-09-01
103,2025,10,Octubre,2025-10-01
104,2025,11,Noviembre,2025-11-01
105,2025,12,Diciembre,2025-12-01
106,2026,1,Enero,2026-01-01
107,2026,2,Febrero,2026-02-01
108,2026,3,Marzo,2026-03-01
