sucursal_id,sucursal_nombre,region
1,Arenoso,Cibao Nordeste
2,Azua,Sur
3,Baní,Sur
4,Barahona,Sur
5,Bonao,Cibao Nordeste
6,Comendador,Sur
7,Constanza,Cibao Norte
8,Cotuí,Cibao Nordeste
9,Dajabón,Cibao Noroeste
10,El Seibo,Este
11,Hato Mayor,Este
12,Higüey,Este
13,La Vega,Cibao Norte
14,Mao Valverde,Sin clasificar
15,Moca,Cibao Norte
16,Monte Plata,Metropolitana
17,Montecristí,Cibao Noroeste
18,Nagua,Cibao Nordeste
19,Neyba,Sur
20,Puerto Plata,Cibao Norte
21,Río San Juan,Cibao Nordeste
22,Salcedo,Cibao Nordeste
23,Samaná,Cibao Nordeste
24,San Cristóbal,Sur
25,San Francisco de Macorís,Cibao Nordeste
26,San José de Ocoa,Sur
27,San José de las Matas,Cibao Norte
28,San Juan de la Maguana,Sur
29,Santiago,Cibao Norte
30,Santiago Rodríguez,Cibao Noroeste
31,Santo Domingo,Metropolitana
32,Valverde Mao,Cibao Noroeste
33,Villa Riva,Cibao Nordeste
