area_financiada_id,sucursal_id,sucursal_nombre,periodo_id,anio,mes_numero,tareas,cantidad_prestamos,valor_rd
1,1,Arenoso,1,2017,4,820,27,69347508
2,2,Azua,1,2017,4,953,48,15743528
3,3,Baní,1,2017,4,1672,43,30303494
4,4,Barahona,1,2017,4,822,56,20880193
5,5,Bonao,1,2017,4,2714,22,37556291
6,6,Comendador,1,2017,4,450,35,13737937
7,7,Constanza,1,2017,4,803,51,31052303
8,8,Cotuí,1,2017,4,2125,35,142779621
9,9,Dajabón,1,2017,4,4315,44,19676697
10,10,El Seibo,1,2017,4,684,36,23909753
11,11,Hato Mayor,1,2017,4,4035,93,32356764
12,12,Higüey,1,2017,4,1224,56,33909704
13,13,La Vega,1,2017,4,3356,75,108332135
14,15,Moca,1,2017,4,1958,86,52004703
15,16,Monte Plata,1,2017,4,1072,48,102917376
16,17,Montecristí,1,2017,4,16790,22,24057720
17,18,Nagua,1,2017,4,445,13,27109780
18,19,Neyba,1,2017,4,60,39,5753320
19,20,Puerto Plata,1,2017,4,1072,83,23669419
20,21,Río San Juan,1,2017,4,1077,24,18581976
21,22,Salcedo,1,2017,4,2524,80,34509525
22,23,Samaná,1,2017,4,1242,56,16051296
23,24,San Cristóbal,1,2017,4,3123,102,62837494
24,25,San Francisco de Macorís,1,2017,4,4282,66,76891509
25,26,San José de Ocoa,1,2017,4,1369,65,80729208
26,27,San José de las Matas,1,2017,4,625,30,98841660
27,28,San Juan de la Maguana,1,2017,4,4206,75,35937989
28,29,Santiago,1,2017,4,315,40,57050070
29,30,Santiago Rodríguez,1,2017,4,410,38,30675604
30,31,Santo Domingo,1,2017,4,485,89,56951389
31,32,Valverde Mao,1,2017,4,1434,41,83761110
32,33,Villa Riva,1,2017,4,3049,37,31148307
33,1,Arenoso,2,2017,5,10610,97,38833628
34,2,Azua,2,2017,5,2879,89,71577278
35,3,Baní,2,2017,5,1229,43,30096450
36,4,Barahona,2,2017,5,3067,69,44883076
37,5,Bonao,2,2017,5,3469,35,63331679
38,6,Comendador,2,2017,5,363,30,11742468
39,7,Constanza,2,2017,5,1687,78,86908551
40,8,Cotuí,2,2017,5,19312,202,143720220
41,9,Dajabón,2,2017,5,7929,100,49916300
42,10,El Seibo,2,2017,5,2420,51,30563465
43,11,Hato Mayor,2,2017,5,5648,134,35840550
44,12,Higüey,2,2017,5,1090,59,74483744
45,13,La Vega,2,2017,5,14111,235,155350106
46,15,Moca,2,2017,5,19639,102,50943768
47,16,Monte Plata,2,2017,5,1336,63,75499781
48,17,Montecristí,2,2017,5,11612,148,66115830
49,18,Nagua,2,2017,5,15103,226,71366379
50,19,Neyba,2,2017,5,41,47,13787247
51,20,Puerto Plata,2,2017,5,1622,79,24622440
52,21,Río San Juan,2,2017,5,4926,76,36537912
53,22,Salcedo,2,2017,5,4012,90,40484180
54,23,Samaná,2,2017,5,2463,54,15022413
55,24,San Cristóbal,2,2017,5,2022,93,41184121
56,25,San Francisco de Macorís,2,2017,5,11618,164,65886288
57,26,San José de Ocoa,2,2017,5,2279,64,108933074
58,27,San José de las Matas,2,2017,5,1533,37,45969750
59,28,San Juan de la Maguana,2,2017,5,3374,95,55950055
60,29,Santiago,2,2017,5,873,47,213621237
61,30,Santiago Rodríguez,2,2017,5,120,38,40437850
62,31,Santo Domingo,2,2017,5,2,96,267670653
63,32,Valverde Mao,2,2017,5,3434,72,124251604
64,33,Villa Riva,2,2017,5,9128,140,40244622
65,1,Arenoso,3,2017,6,16616,176,81648297
66,2,Azua,3,2017,6,5464,66,38031903
67,3,Baní,3,2017,6,827,25,15990135
68,4,Barahona,3,2017,6,682,52,44051109
69,5,Bonao,3,2017,6,2547,67,35040408
70,6,Comendador,3,2017,6,637,30,9470723
71,7,Constanza,3,2017,6,2110,77,60230918
72,8,Cotuí,3,2017,6,25878,303,160483040
73,9,Dajabón,3,2017,6,4513,96,32371300
74,10,El Seibo,3,2017,6,2259,52,18755851
75,11,Hato Mayor,3,2017,6,2762,79,43455021
76,12,Higüey,3,2017,6,2030,75,50996887
77,13,La Vega,3,2017,6,19721,235,118967235
78,15,Moca,3,2017,6,3280,107,63622755
79,16,Monte Plata,3,2017,6,2598,57,69606010
80,17,Montecristí,3,2017,6,4828,87,47494254
81,18,Nagua,3,2017,6,17198,231,71245230
82,19,Neyba,3,2017,6,45,36,9011735
83,20,Puerto Plata,3,2017,6,3250,96,27552792
84,21,Río San Juan,3,2017,6,4560,92,43162586
85,22,Salcedo,3,2017,6,15577,77,65319664
86,23,Samaná,3,2017,6,3291,66,17155034
87,24,San Cristóbal,3,2017,6,1303,72,45486597
88,25,San Francisco de Macorís,3,2017,6,29647,215,169578346
89,26,San José de Ocoa,3,2017,6,899,48,100274418
90,27,San José de las Matas,3,2017,6,1695,47,16245500
91,28,San Juan de la Maguana,3,2017,6,4478,76,66415400
92,29,Santiago,3,2017,6,3545,43,80005044
93,30,Santiago Rodríguez,3,2017,6,134,32,29788974
94,31,Santo Domingo,3,2017,6,1334,85,138443626
95,32,Valverde Mao,3,2017,6,10302,123,91040086
96,33,Villa Riva,3,2017,6,14107,164,67651840
97,1,Arenoso,4,2017,7,6449,56,35173200
98,2,Azua,4,2017,7,1992,53,22792738
99,3,Baní,4,2017,7,599,32,15197500
100,4,Barahona,4,2017,7,118,21,10469719
101,5,Bonao,4,2017,7,3619,57,26930877
102,6,Comendador,4,2017,7,226,14,3414433
103,7,Constanza,4,2017,7,1572,53,33751755
104,8,Cotuí,4,2017,7,9442,102,51859290
105,9,Dajabón,4,2017,7,3171,59,33222200
106,10,El Seibo,4,2017,7,1377,40,41105892
107,11,Hato Mayor,4,2017,7,1168,52,131694134
108,12,Higüey,4,2017,7,472,43,25752979
109,13,La Vega,4,2017,7,5325,108,62828384
110,15,Moca,4,2017,7,1011,72,34545642
111,16,Monte Plata,4,2017,7,3031,80,56936763
112,17,Montecristí,4,2017,7,3578,21,31254000
113,18,Nagua,4,2017,7,4946,43,19941842
114,19,Neyba,4,2017,7,30,30,4659032
115,20,Puerto Plata,4,2017,7,3415,93,31961045
116,21,Río San Juan,4,2017,7,11451,49,35999279
117,22,Salcedo,4,2017,7,7131,65,41979410
118,23,Samaná,4,2017,7,2258,58,16659593
119,24,San Cristóbal,4,2017,7,218,47,28136855
120,25,San Francisco de Macorís,4,2017,7,14043,95,62175099
121,26,San José de Ocoa,4,2017,7,483,34,46022210
122,27,San José de las Matas,4,2017,7,1282,28,29694831
123,28,San Juan de la Maguana,4,2017,7,8131,95,85656554
124,29,Santiago,4,2017,7,1101,24,16497356
125,30,Santiago Rodríguez,4,2017,7,320,28,27304052
126,31,Santo Domingo,4,2017,7,1109,72,102372535
127,32,Valverde Mao,4,2017,7,4519,49,39551482
128,33,Villa Riva,4,2017,7,3622,60,15357535
129,1,Arenoso,5,2017,8,1311,24,24263250
130,2,Azua,5,2017,8,1292,43,25678895
131,3,Baní,5,2017,8,793,29,28053450
132,4,Barahona,5,2017,8,1172,25,10631973
133,5,Bonao,5,2017,8,3695,24,5225935
134,6,Comendador,5,2017,8,249,22,6673100
135,7,Constanza,5,2017,8,1869,55,39094800
136,8,Cotuí,5,2017,8,4857,62,76105000
137,9,Dajabón,5,2017,8,1470,26,10351000
138,10,El Seibo,5,2017,8,965,47,9084798
139,11,Hato Mayor,5,2017,8,1612,47,17491615
140,12,Higüey,5,2017,8,50,38,34484137
141,13,La Vega,5,2017,8,1953,36,23130913
142,15,Moca,5,2017,8,1615,58,42659000
143,16,Monte Plata,5,2017,8,4176,71,140306795
144,17,Montecristí,5,2017,8,488,9,3727062
145,18,Nagua,5,2017,8,2295,30,11040580
146,19,Neyba,5,2017,8,5000,27,2977500
147,20,Puerto Plata,5,2017,8,968,35,18841267
148,21,Río San Juan,5,2017,8,2347,44,28866174
149,22,Salcedo,5,2017,8,2885,64,43009170
150,23,Samaná,5,2017,8,1187,41,9255635
151,24,San Cristóbal,5,2017,8,440,48,14565172
152,25,San Francisco de Macorís,5,2017,8,8078,41,41011708
153,26,San José de Ocoa,5,2017,8,434,35,30219454
154,27,San José de las Matas,5,2017,8,1600,38,10997300
155,28,San Juan de la Maguana,5,2017,8,2010,54,23507297
156,29,Santiago,5,2017,8,1822,31,19843712
157,30,Santiago Rodríguez,5,2017,8,520,34,27018100
158,31,Santo Domingo,5,2017,8,1029,104,30138440
159,32,Valverde Mao,5,2017,8,2747,28,79018033
160,33,Villa Riva,5,2017,8,2121,49,10351810
161,1,Arenoso,6,2017,9,220,11,5919959
162,2,Azua,6,2017,9,1301,38,9912000
163,3,Baní,6,2017,9,756,27,23408628
164,4,Barahona,6,2017,9,437,14,2256300
165,5,Bonao,6,2017,9,465,8,23827527
166,6,Comendador,6,2017,9,214,7,535000
167,7,Constanza,6,2017,9,1377,41,41749500
168,8,Cotuí,6,2017,9,4374,36,112230958
169,9,Dajabón,6,2017,9,0,15,13856000
170,10,El Seibo,6,2017,9,217,20,27318414
171,11,Hato Mayor,6,2017,9,1210,30,18921000
172,12,Higüey,6,2017,9,76,25,17468000
173,13,La Vega,6,2017,9,511,30,194738567
174,15,Moca,6,2017,9,306,53,20843707
175,16,Monte Plata,6,2017,9,2781,72,56981854
176,17,Montecristí,6,2017,9,2770,8,25146282
177,18,Nagua,6,2017,9,10251,11,37817500
178,19,Neyba,6,2017,9,1782,29,13392978
179,20,Puerto Plata,6,2017,9,655,38,14817974
180,21,Río San Juan,6,2017,9,754,22,6758957
181,22,Salcedo,6,2017,9,3317,45,17767388
182,23,Samaná,6,2017,9,5304,42,15463386
183,24,San Cristóbal,6,2017,9,535,45,15971298
184,25,San Francisco de Macorís,6,2017,9,4158,25,118141902
185,26,San José de Ocoa,6,2017,9,602,32,38880514
186,27,San José de las Matas,6,2017,9,593,34,13022450
187,28,San Juan de la Maguana,6,2017,9,2520,24,79761311
188,29,Santiago,6,2017,9,405,28,19875608
189,30,Santiago Rodríguez,6,2017,9,495,20,30916748
190,31,Santo Domingo,6,2017,9,1498,69,22078568
191,32,Valverde Mao,6,2017,9,223,11,117807344
192,33,Villa Riva,6,2017,9,1299,16,5375000
193,1,Arenoso,7,2017,10,0,11,8265383
194,2,Azua,7,2017,10,1336,47,57998289
195,3,Baní,7,2017,10,384,34,40128356
196,4,Barahona,7,2017,10,1058,33,17253256
197,5,Bonao,7,2017,10,1270,18,59559060
198,6,Comendador,7,2017,10,496,25,8730324
199,7,Constanza,7,2017,10,2300,99,51209025
200,8,Cotuí,7,2017,10,2895,53,180901000
201,9,Dajabón,7,2017,10,1873,19,14606000
202,10,El Seibo,7,2017,10,494,40,14717158
203,11,Hato Mayor,7,2017,10,2767,59,163470584
204,12,Higüey,7,2017,10,3017,31,42137412
205,13,La Vega,7,2017,10,331,55,79083590
206,15,Moca,7,2017,10,1283,95,69563942
207,16,Monte Plata,7,2017,10,2404,69,136779885
208,17,Montecristí,7,2017,10,654,6,9206587
209,18,Nagua,7,2017,10,0,9,82250000
210,19,Neyba,7,2017,10,4775,68,58239496
211,20,Puerto Plata,7,2017,10,1254,49,43675812
212,21,Río San Juan,7,2017,10,319,21,31048449
213,22,Salcedo,7,2017,10,1929,55,43905675
214,23,Samaná,7,2017,10,3476,62,17158478
215,24,San Cristóbal,7,2017,10,693,44,16074280
216,25,San Francisco de Macorís,7,2017,10,457,28,66644352
217,26,San José de Ocoa,7,2017,10,636,39,51635401
218,27,San José de las Matas,7,2017,10,762,37,20979526
219,28,San Juan de la Maguana,7,2017,10,4605,82,57340559
220,29,Santiago,7,2017,10,476,40,76662577
221,30,Santiago Rodríguez,7,2017,10,200,25,24984177
222,31,Santo Domingo,7,2017,10,515,106,592569178
223,32,Valverde Mao,7,2017,10,1306,32,77708288
224,33,Villa Riva,7,2017,10,2297,26,14279500
225,1,Arenoso,8,2017,11,16918,146,75790794
226,2,Azua,8,2017,11,1874,54,48745420
227,3,Baní,8,2017,11,1117,33,28897145
228,4,Barahona,8,2017,11,955,43,21658180
229,5,Bonao,8,2017,11,1976,58,44640857
230,6,Comendador,8,2017,11,160,24,7809253
231,7,Constanza,8,2017,11,1999,56,131780334
232,8,Cotuí,8,2017,11,14712,206,90187906
233,9,Dajabón,8,2017,11,6603,82,36859640
234,10,El Seibo,8,2017,11,1284,50,26747412
235,11,Hato Mayor,8,2017,11,1657,72,59821848
236,12,Higüey,8,2017,11,1301,54,33995443
237,13,La Vega,8,2017,11,14022,239,127064972
238,15,Moca,8,2017,11,1543,72,35106606
239,16,Monte Plata,8,2017,11,1673,61,73201502
240,17,Montecristí,8,2017,11,5496,66,50183231
241,18,Nagua,8,2017,11,11288,172,46210117
242,19,Neyba,8,2017,11,1495,51,17083614
243,20,Puerto Plata,8,2017,11,917,70,41135818
244,21,Río San Juan,8,2017,11,3111,63,38934084
245,22,Salcedo,8,2017,11,3314,76,30779235
246,23,Samaná,8,2017,11,3999,81,30364402
247,24,San Cristóbal,8,2017,11,884,55,46018374
248,25,San Francisco de Macorís,8,2017,11,11401,114,74845467
249,26,San José de Ocoa,8,2017,11,632,37,26860200
250,27,San José de las Matas,8,2017,11,758,30,10738568
251,28,San Juan de la Maguana,8,2017,11,13120,151,152528659
252,29,Santiago,8,2017,11,1660,41,38461716
253,30,Santiago Rodríguez,8,2017,11,1733,26,32440000
254,31,Santo Domingo,8,2017,11,166,115,146169538
255,32,Valverde Mao,8,2017,11,1145,34,21048619
256,33,Villa Riva,8,2017,11,7969,92,62555800
257,1,Arenoso,9,2017,12,16967,186,76460896
258,2,Azua,9,2017,12,2466,78,49496749
259,3,Baní,9,2017,12,328,30,16669600
260,4,Barahona,9,2017,12,1492,47,36295183
261,5,Bonao,9,2017,12,3255,84,28030875
262,6,Comendador,9,2017,12,585,32,12668724
263,7,Constanza,9,2017,12,1341,58,38687467
264,8,Cotuí,9,2017,12,19616,247,131544122
265,9,Dajabón,9,2017,12,7838,101,32331940
266,10,El Seibo,9,2017,12,1633,73,27040961
267,11,Hato Mayor,9,2017,12,865,69,42203700
268,12,Higüey,9,2017,12,3153,61,44820690
269,13,La Vega,9,2017,12,23835,246,174015030
270,15,Moca,9,2017,12,1491,98,70910129
271,16,Monte Plata,9,2017,12,1710,67,234660609
272,17,Montecristí,9,2017,12,29715,103,406143678
273,18,Nagua,9,2017,12,21938,276,91722377
274,19,Neyba,9,2017,12,2487,47,27711600
275,20,Puerto Plata,9,2017,12,956,88,27088384
276,21,Río San Juan,9,2017,12,14528,61,100007280
277,22,Salcedo,9,2017,12,7748,69,58062896
278,23,Samaná,9,2017,12,2689,99,26112600
279,24,San Cristóbal,9,2017,12,661,53,44461920
280,25,San Francisco de Macorís,9,2017,12,28922,207,166707248
281,26,San José de Ocoa,9,2017,12,870,37,49873548
