desembolso_cobro_id,sucursal_id,sucursal_nombre,periodo_id,anio,mes_numero,desembolsos_rd,cobros_rd,balance_neto_rd
1,1,Arenoso,94,2025,1,132281631,29601344,102680287
2,2,Azua,94,2025,1,12866723,24802894,-11936171
3,3,Baní,94,2025,1,18425206,38551852,-20126646
4,4,Barahona,94,2025,1,11200008,15402647,-4202639
5,5,Bonao,94,2025,1,110444807,112996590,-2551783
6,6,Comendador,94,2025,1,12121917,17177097,-5055180
7,7,Constanza,94,2025,1,171683138,191051322,-19368184
8,8,Cotuí,94,2025,1,81945652,56005536,25940116
9,9,Dajabón,94,2025,1,37417660,26429963,10987697
10,10,El Seibo,94,2025,1,12166484,24338789,-12172305
11,11,Hato Mayor,94,2025,1,34604147,24290500,10313647
12,12,Higüey,94,2025,1,21037060,38900495,-17863435
13,13,La Vega,94,2025,1,187773944,77781554,109992390
14,14,Mao Valverde,94,2025,1,87091034,72479298,14611736
15,15,Moca,94,2025,1,61298967,49438513,11860454
16,16,Monte Plata,94,2025,1,25003141,34839291,-9836150
17,17,Montecristí,94,2025,1,43112093,28290227,14821866
18,18,Nagua,94,2025,1,67400939,38054419,29346520
19,19,Neyba,94,2025,1,10247464,26072739,-15825275
20,20,Puerto Plata,94,2025,1,48938189,40268593,8669596
21,21,Río San Juan,94,2025,1,25063372,42989980,-17926608
22,22,Salcedo,94,2025,1,20476528,163370090,-142893562
23,23,Samaná,94,2025,1,13613619,13224647,388972
24,24,San Cristóbal,94,2025,1,8162968,32203905,-24040937
25,25,San Francisco de Macorís,94,2025,1,309038537,108534403,200504134
26,26,San José de Ocoa,94,2025,1,60291484,65328791,-5037307
27,27,San José de las Matas,94,2025,1,16111729,16264200,-152471
28,28,San Juan de la Maguana,94,2025,1,68217047,39536368,28680679
29,29,Santiago,94,2025,1,149837953,170369546,-20531593
30,30,Santiago Rodríguez,94,2025,1,28082698,29181471,-1098773
31,31,Santo Domingo,94,2025,1,110728619,27750661,82977958
32,33,Villa Riva,94,2025,1,88039628,22603243,65436385
33,1,Arenoso,95,2025,2,83336293,18465900,64870393
34,2,Azua,95,2025,2,18233272,21224122,-2990850
35,3,Baní,95,2025,2,81568939,48536412,33032527
36,4,Barahona,95,2025,2,14104548,13669029,435519
37,5,Bonao,95,2025,2,17521931,37108195,-19586264
38,6,Comendador,95,2025,2,13884599,18261947,-4377348
39,7,Constanza,95,2025,2,207338112,173377951,33960161
40,8,Cotuí,95,2025,2,40916096,80085134,-39169038
41,9,Dajabón,95,2025,2,19779074,20303721,-524647
42,10,El Seibo,95,2025,2,6714662,19409911,-12695249
43,11,Hato Mayor,95,2025,2,25905774,51524620,-25618846
44,12,Higüey,95,2025,2,8207758,37658347,-29450589
45,13,La Vega,95,2025,2,48762307,103542468,-54780161
46,14,Mao Valverde,95,2025,2,49722254,122979460,-73257206
47,15,Moca,95,2025,2,38265018,53109835,-14844817
48,16,Monte Plata,95,2025,2,42960364,49698757,-6738393
49,17,Montecristí,95,2025,2,33558779,38245161,-4686382
50,18,Nagua,95,2025,2,70733691,66146861,4586830
51,19,Neyba,95,2025,2,8262505,20043610,-11781105
52,20,Puerto Plata,95,2025,2,40153931,42838012,-2684081
53,21,Río San Juan,95,2025,2,31595347,19818811,11776536
54,22,Salcedo,95,2025,2,25245778,22582952,2662826
55,23,Samaná,95,2025,2,12058720,22396935,-10338215
56,24,San Cristóbal,95,2025,2,7997254,20587516,-12590262
57,25,San Francisco de Macorís,95,2025,2,240347219,243382541,-3035322
58,26,San José de Ocoa,95,2025,2,53499161,77042387,-23543226
59,27,San José de las Matas,95,2025,2,22838272,19646075,3192197
60,28,San Juan de la Maguana,95,2025,2,25558574,45779508,-20220934
61,29,Santiago,95,2025,2,54924719,63660958,-8736239
62,30,Santiago Rodríguez,95,2025,2,37743119,27155989,10587130
63,31,Santo Domingo,95,2025,2,101220574,190372065,-89151491
64,33,Villa Riva,95,2025,2,37930427,14747147,23183280
65,1,Arenoso,96,2025,3,22904179,11541839,11362340
66,2,Azua,96,2025,3,19467636,24946615,-5478979
67,3,Baní,96,2025,3,50966814,38667347,12299467
68,4,Barahona,96,2025,3,8557363,25821696,-17264333
69,5,Bonao,96,2025,3,47175955,31531128,15644827
70,6,Comendador,96,2025,3,17050280,17304924,-254644
71,7,Constanza,96,2025,3,334179961,264185856,69994105
72,8,Cotuí,96,2025,3,68283742,61918527,6365215
73,9,Dajabón,96,2025,3,25183348,23683841,1499507
74,10,El Seibo,96,2025,3,25323131,27427219,-2104088
75,11,Hato Mayor,96,2025,3,42201996,68537411,-26335415
76,12,Higüey,96,2025,3,102434014,73702413,28731601
77,13,La Vega,96,2025,3,88346565,106952194,-18605629
78,14,Mao Valverde,96,2025,3,71496938,90316618,-18819680
79,15,Moca,96,2025,3,81705810,107967673,-26261863
80,16,Monte Plata,96,2025,3,20069291,41608476,-21539185
81,17,Montecristí,96,2025,3,56640253,102988909,-46348656
82,18,Nagua,96,2025,3,22181000,28534175,-6353175
83,19,Neyba,96,2025,3,18949609,15579733,3369876
84,20,Puerto Plata,96,2025,3,51405152,52446612,-1041460
85,21,Río San Juan,96,2025,3,16030320,29399656,-13369336
86,22,Salcedo,96,2025,3,24749419,19305991,5443428
87,23,Samaná,96,2025,3,15830883,19933715,-4102832
88,24,San Cristóbal,96,2025,3,22364487,14360853,8003634
89,25,San Francisco de Macorís,96,2025,3,86920400,73499090,13421310
90,26,San José de Ocoa,96,2025,3,22888812,79082406,-56193594
91,27,San José de las Matas,96,2025,3,16447070,13880410,2566660
92,28,San Juan de la Maguana,96,2025,3,61935910,102569714,-40633804
93,29,Santiago,96,2025,3,74827880,65684130,9143750
94,30,Santiago Rodríguez,96,2025,3,50018647,48752846,1265801
95,31,Santo Domingo,96,2025,3,315960152,381921386,-65961234
96,33,Villa Riva,96,2025,3,15264910,32176652,-16911742
97,1,Arenoso,97,2025,4,37524686,105151003,-67626317
98,2,Azua,97,2025,4,11411596,32544795,-21133199
99,3,Baní,97,2025,4,21618861,35790458,-14171597
100,4,Barahona,97,2025,4,9572644,9655282,-82638
101,5,Bonao,97,2025,4,20839498,14233909,6605589
102,6,Comendador,97,2025,4,11146867,11556129,-409262
103,7,Constanza,97,2025,4,268095068,261508867,6586201
104,8,Cotuí,97,2025,4,48345893,40883099,7462794
105,9,Dajabón,97,2025,4,21396890,25762265,-4365375
106,10,El Seibo,97,2025,4,23404391,29280723,-5876332
107,11,Hato Mayor,97,2025,4,29360305,84447311,-55087006
108,12,Higüey,97,2025,4,62269879,44398053,17871826
109,13,La Vega,97,2025,4,297665874,364881577,-67215703
110,14,Mao Valverde,97,2025,4,145046006,117258173,27787833
111,15,Moca,97,2025,4,63071466,52395953,10675513
112,16,Monte Plata,97,2025,4,24496648,41523138,-17026490
113,17,Montecristí,97,2025,4,202662237,98074325,104587912
114,18,Nagua,97,2025,4,88757521,122094817,-33337296
115,19,Neyba,97,2025,4,4876731,15866501,-10989770
116,20,Puerto Plata,97,2025,4,32999766,57069602,-24069836
117,21,Río San Juan,97,2025,4,24675121,22849817,1825304
118,22,Salcedo,97,2025,4,18714010,23376238,-4662228
119,23,Samaná,97,2025,4,12557939,16370623,-3812684
120,24,San Cristóbal,97,2025,4,7551337,12779749,-5228412
121,25,San Francisco de Macorís,97,2025,4,199269974,102565202,96704772
122,26,San José de Ocoa,97,2025,4,98957269,190173260,-91215991
123,27,San José de las Matas,97,2025,4,16287065,16972948,-685883
124,28,San Juan de la Maguana,97,2025,4,44919287,34161881,10757406
125,29,Santiago,97,2025,4,164065569,162465082,1600487
126,30,Santiago Rodríguez,97,2025,4,15606489,58226089,-42619600
127,31,Santo Domingo,97,2025,4,314482504,349477848,-34995344
128,33,Villa Riva,97,2025,4,19410627,85447367,-66036740
129,1,Arenoso,98,2025,5,79036522,180887294,-101850772
130,2,Azua,98,2025,5,17160083,32663800,-15503717
131,3,Baní,98,2025,5,64789606,41495900,23293706
132,4,Barahona,98,2025,5,12114946,17136653,-5021707
133,5,Bonao,98,2025,5,43839658,33091574,10748084
134,6,Comendador,98,2025,5,14148171,13875059,273112
135,7,Constanza,98,2025,5,111026652,126143612,-15116960
136,8,Cotuí,98,2025,5,239705806,118828917,120876889
137,9,Dajabón,98,2025,5,24832103,31455227,-6623124
138,10,El Seibo,98,2025,5,89465473,31784147,57681326
139,11,Hato Mayor,98,2025,5,32885592,34740632,-1855040
140,12,Higüey,98,2025,5,16928176,48636092,-31707916
141,13,La Vega,98,2025,5,256866835,155498901,101367934
142,14,Mao Valverde,98,2025,5,358460115,181867094,176593021
143,15,Moca,98,2025,5,34918368,52426763,-17508395
144,16,Monte Plata,98,2025,5,40679180,52557900,-11878720
145,17,Montecristí,98,2025,5,106523604,56571663,49951941
146,18,Nagua,98,2025,5,31901889,92410509,-60508620
147,19,Neyba,98,2025,5,11356281,18529867,-7173586
148,20,Puerto Plata,98,2025,5,55843256,51852306,3990950
149,21,Río San Juan,98,2025,5,64821706,99230222,-34408516
150,22,Salcedo,98,2025,5,87829761,79890651,7939110
151,23,Samaná,98,2025,5,19759491,17617594,2141897
152,24,San Cristóbal,98,2025,5,13516734,13210991,305743
153,25,San Francisco de Macorís,98,2025,5,94220624,125392837,-31172213
154,26,San José de Ocoa,98,2025,5,99596806,105169985,-5573179
155,27,San José de las Matas,98,2025,5,29948903,13696047,16252856
156,28,San Juan de la Maguana,98,2025,5,49539890,93484592,-43944702
157,29,Santiago,98,2025,5,162999886,186580064,-23580178
