monto_destino_id,destino_id,destino_nombre,rubro,tipo_operacion,periodo_id,anio,mes_numero,cantidad,valores_rd,tareas,beneficiados
1,3,"Agro. Manufactura, Comercio V. y Otros","Agro. Manufactura, Comercio V. y Otros",General,1,2017,4,327,338634506,0,327
2,4,Aguacate (Producción),Aguacate,Producción,1,2017,4,92,28028000,4142,92
3,8,Ajo (Comercialización),Ajo,Comercialización,1,2017,4,0,0,0,0
4,9,Ajo (Producción),Ajo,Producción,1,2017,4,0,0,0,0
5,10,Ají (Producción),Ají,Producción,1,2017,4,21,16953350,539,21
6,11,Apícola,Apícola,General,1,2017,4,5,895000,0,5
7,14,Arroz (Comercialización),Arroz,Comercialización,1,2017,4,21,358997814,0,21
8,17,Arroz (Producción),Arroz,Producción,1,2017,4,157,53208707,11487,157
9,20,Batata,Batata,General,1,2017,4,5,995000,225,5
10,23,Cacao (Comercialización),Cacao,Comercialización,1,2017,4,12,29492000,0,12
11,24,Cacao (Producción),Cacao,Producción,1,2017,4,74,41189000,10667,74
12,26,Café (Comercialización),Café,Comercialización,1,2017,4,1,800000,0,1
13,27,Café (Producción),Café,Producción,1,2017,4,16,7980000,1709,16
14,28,Cebolla,Cebolla,General,1,2017,4,11,8200000,439,11
15,33,Coco (Comercialización),Coco,Comercialización,1,2017,4,1,250000,0,1
16,34,Coco (Producción),Coco,Producción,1,2017,4,5,800000,246,5
17,40,Gallinas Ponedoras,Gallinas Ponedoras,General,1,2017,4,5,3000000,0,5
18,41,Ganado de Carne,Ganado de Carne,General,1,2017,4,65,39690000,0,65
19,42,Ganado de Carne (Com),Ganado de Carne,Com,1,2017,4,6,4330000,0,6
20,44,Ganado de Doble Propósito,Ganado de Doble Propósito,General,1,2017,4,61,57919000,0,61
21,45,Ganado de Leche,Ganado de Leche,General,1,2017,4,25,23365128,0,25
22,46,Ganado de Leche (Com.),Ganado de Leche,Com.,1,2017,4,1,100000,0,1
23,51,Guandul (Comercialización),Guandul,Comercialización,1,2017,4,0,0,0,0
24,52,Guandul (Producción),Guandul,Producción,1,2017,4,6,615000,360,6
25,53,Guineo,Guineo,General,1,2017,4,17,8405600,1011,17
26,57,Habichuela (Comercialización),Habichuela,Comercialización,1,2017,4,0,0,0,0
27,58,Habichuela (Producción),Habichuela,Producción,1,2017,4,1,150000,23,1
28,59,Invernadero,Invernadero,General,1,2017,4,3,19971372,11,3
29,63,Maíz (Comercialización),Maíz,Comercialización,1,2017,4,0,0,0,0
30,64,Maíz (Producción),Maíz,Producción,1,2017,4,14,1545000,1072,14
31,68,Otros Agrícolas,Otros Agrícolas,General,1,2017,4,182,162889671,27651,182
32,69,Otros Avícolas,Otros Avícolas,General,1,2017,4,1,450000,0,1
