Sucursal;Cantidad de Préstamos;Valor (RD$);Mes;Año
Santo Domingo;2,040;1,712,014,824;Abril;2017
El Seibo;1,218;332,907,974;Abril;2017
Higuey;1,237;781,090,534;Abril;2017
Hato Mayor;1,162;644,769,173;Abril;2017
San Cristobal;1,296;713,252,517;Abril;2017
Monte Plata;1,213;934,192,731;Abril;2017
San Jose de Ocoa;1,171;1,484,599,203;Abril;2017
Azua;1,997;667,047,193;Abril;2017
Bani;787;540,722,692;Abril;2017
Neyba;1,847;505,476,762;Abril;2017
Barahona;2,227;591,274,629;Abril;2017
San Juan de la Maguana ;4,699;1,361,894,391;Abril;2017
Comendador;1,955;370,536,761;Abril;2017
Nagua;1,014;452,449,572;Abril;2017
Arenoso;879;294,986,541;Abril;2017
Samana;1,319;311,248,848;Abril;2017
Rio San Juan;1,012;430,046,927;Abril;2017
Villa Riva;1,115;379,478,549;Abril;2017
San Francisco de Macoris;913;700,784,022;Abril;2017
Cotui;1,988;958,347,290;Abril;2017
Santiago;526;417,238,082;Abril;2017
Moca;1,035;636,107,675;Abril;2017
Bonao;686;476,330,535;Abril;2017
Salcedo;969;404,099,016;Abril;2017
Constanza;1,297;813,845,347;Abril;2017
La Vega;1,062;964,552,040;Abril;2017
Santiago Rodriguez;1,651;768,870,177;Abril;2017
Montecristy;1,143;1,152,371,681;Abril;2017
Puerto Plata;1,956;572,871,697;Abril;2017
Valverde Mao;1,141;1,223,398,460;Abril;2017
Dajabón;1,173;463,940,619;Abril;2017
San Jose de las Matas;961;545,124,690;Abril;2017
Arenoso;764;254,138,770;Mayo;2017
Azua;2,006;715,042,931;Mayo;2017
Bani;794;548,764,605;Mayo;2017
Barahona;2,223;597,758,534;Mayo;2017
Bonao;661;480,161,648;Mayo;2017
Comendador;1,930;366,174,045;Mayo;2017
Constanza;1,294;808,127,129;Mayo;2017
Cotui;1,874;978,406,055;Mayo;2017
Dajabón;1,158;459,700,047;Mayo;2017
El Seibo;1,248;339,105,819;Mayo;2017
Hato Mayor;1,167;648,008,247;Mayo;2017
Higuey;1,210;819,256,839;Mayo;2017
La Vega;1,000;969,542,466;Mayo;2017
Moca;1,040;645,115,714;Mayo;2017
Monte Plata;1,196;970,246,481;Mayo;2017
Montecristy;1,132;1,190,765,195;Mayo;2017
Nagua;952;432,293,093;Mayo;2017
Neyba;1,821;499,430,491;Mayo;2017
Puerto Plata;1,942;569,121,740;Mayo;2017
Rio San Juan;986;444,188,967;Mayo;2017
Salcedo;923;417,043,513;Mayo;2017
Samana;1,311;312,035,962;Mayo;2017
San Cristobal;1,294;715,601,108;Mayo;2017
San Francisco de Macoris;857;700,496,549;Mayo;2017
San Jose de las Matas;947;566,383,640;Mayo;2017
San Jose de Ocoa;1,156;1,511,169,785;Mayo;2017
San Juan de la Maguana ;4,703;1,362,093,364;Mayo;2017
Santiago;523;480,401,684;Mayo;2017
Santiago Rodriguez;1,655;773,835,792;Mayo;2017
Santo Domingo;2,025;1,880,388,455;Mayo;2017
Valverde Mao;1,081;1,317,285,483;Mayo;2017
Villa Riva;1,059;354,086,654;Mayo;2017
Arenoso;835;269,107,881;Junio;2017
Azua;2,036;714,436,442;Junio;2017
Bani;780;551,974,294;Junio;2017
Barahona;2,222;616,421,958;Junio;2017
Bonao;619;504,067,287;Junio;2017
Comendador;1,916;357,366,963;Junio;2017
Constanza;1,274;813,722,169;Junio;2017
Cotui;1,962;988,110,513;Junio;2017
Dajabón;1,172;473,772,132;Junio;2017
El Seibo;1,196;329,480,745;Junio;2017
Hato Mayor;1,166;607,370,515;Junio;2017
Higuey;1,227;828,528,007;Junio;2017
La Vega;1,093;977,333,237;Junio;2017
Moca;1,049;668,179,263;Junio;2017
Monte Plata;1,229;914,772,181;Junio;2017
Montecristy;1,185;1,268,494,436;Junio;2017
Nagua;1,104;412,428,719;Junio;2017
Neyba;1,789;500,532,249;Junio;2017
Puerto Plata;1,923;566,491,381;Junio;2017
Rio San Juan;988;447,530,898;Junio;2017
Salcedo;905;422,782,045;Junio;2017
Samana;1,306;310,754,305;Junio;2017
San Cristobal;1,306;711,796,975;Junio;2017
San Francisco de Macoris;910;659,577,959;Junio;2017
San Jose de las Matas;961;589,971,421;Junio;2017
San Jose de Ocoa;1,168;1,564,800,178;Junio;2017
San Juan de la Maguana ;4,662;1,375,832,027;Junio;2017
Santiago;511;481,134,155;Junio;2017
Santiago Rodriguez;1,663;763,452,996;Junio;2017
Santo Domingo;2,016;1,840,804,408;Junio;2017
Valverde Mao;1,127;1,368,339,002;Junio;2017
Villa Riva;1,129;354,417,106;Junio;2017
Santo Domingo;1,953;1,678,738,129;Julio;2017
San Cristobal;1,289;691,024,112;Julio;2017
Monte Plata;1,233;890,903,062;Julio;2017
Hato Mayor;1,152;624,220,932;Julio;2017
El Seibo;1,166;325,925,526;Julio;2017
Higuey;1,218;809,970,390;Julio;2017
San Juan de la Maguana ;4,644;1,403,356,226;Julio;2017
Bani;780;554,534,192;Julio;2017
San Jose de Ocoa;1,155;1,598,970,928;Julio;2017
Azua;2,010;658,059,610;Julio;2017
Barahona;2,175;605,703,966;Julio;2017
Neyba;1,738;492,484,116;Julio;2017
Comendador;1,875;346,323,741;Julio;2017
San Francisco de Macoris;904;662,479,070;Julio;2017
Cotui;1,980;1,002,264,168;Julio;2017
Villa Riva;1,141;362,748,405;Julio;2017
Arenoso;863;295,679,009;Julio;2017
Samana;1,315;312,492,730;Julio;2017
Nagua;1,114;409,636,175;Julio;2017
Rio San Juan;982;443,123,631;Julio;2017
La Vega;1,135;975,572,372;Julio;2017
Bonao;637;474,481,588;Julio;2017
Constanza;1,265;803,513,111;Julio;2017
Salcedo;889;414,018,457;Julio;2017
Moca;1,022;654,187,082;Julio;2017
Santiago;493;428,035,751;Julio;2017
Valverde Mao;1,130;1,389,162,709;Julio;2017
Montecristy;1,182;1,303,850,325;Julio;2017
Santiago Rodriguez;1,658;758,205,526;Julio;2017
Dajabón;1,189;488,905,201;Julio;2017
