Sucursales ;Desembolsos (RD$);Cobros (RD$);Mes;Año
Santo Domingo; 110,728,619 ; 27,750,661 ;Enero;2025
El Seibo; 12,166,484 ; 24,338,789 ;Enero;2025
Higüey; 21,037,060 ; 38,900,495 ;Enero;2025
Hato Mayor; 34,604,147 ; 24,290,500 ;Enero;2025
Monte Plata; 25,003,141 ; 34,839,291 ;Enero;2025
Azua; 12,866,723 ; 24,802,894 ;Enero;2025
Baní; 18,425,206 ; 38,551,852 ;Enero;2025
Neyba; 10,247,464 ; 26,072,739 ;Enero;2025
Barahona; 11,200,008 ; 15,402,647 ;Enero;2025
San Juan de la Maguana ; 68,217,047 ; 39,536,368 ;Enero;2025
Comendador; 12,121,917 ; 17,177,097 ;Enero;2025
Nagua; 67,400,939 ; 38,054,419 ;Enero;2025
Arenoso; 132,281,631 ; 29,601,344 ;Enero;2025
Samaná; 13,613,619 ; 13,224,647 ;Enero;2025
Río San Juan; 25,063,372 ; 42,989,980 ;Enero;2025
Villa Riva; 88,039,628 ; 22,603,243 ;Enero;2025
San Francisco de Macorís; 309,038,537 ; 108,534,403 ;Enero;2025
Santiago; 149,837,953 ; 170,369,546 ;Enero;2025
Moca; 61,298,967 ; 49,438,513 ;Enero;2025
San José de las Matas; 16,111,729 ; 16,264,200 ;Enero;2025
Constanza; 171,683,138 ; 191,051,322 ;Enero;2025
La Vega; 187,773,944 ; 77,781,554 ;Enero;2025
Santiago Rodríguez; 28,082,698 ; 29,181,471 ;Enero;2025
Montecristi; 43,112,093 ; 28,290,227 ;Enero;2025
Puerto Plata; 48,938,189 ; 40,268,593 ;Enero;2025
Mao Valverde ; 87,091,034 ; 72,479,298 ;Enero;2025
Dajabón; 37,417,660 ; 26,429,963 ;Enero;2025
San José de Ocoa; 60,291,484 ; 65,328,791 ;Enero;2025
Bonao; 110,444,807 ; 112,996,590 ;Enero;2025
San Cristóbal; 8,162,968 ; 32,203,905 ;Enero;2025
Salcedo; 20,476,528 ; 163,370,090 ;Enero;2025
Cotuí; 81,945,652 ; 56,005,536 ;Enero;2025
Santo Domingo; 101,220,574 ; 190,372,065 ;Febrero;2025
El Seibo; 6,714,662 ; 19,409,911 ;Febrero;2025
Higüey; 8,207,758 ; 37,658,347 ;Febrero;2025
Hato Mayor; 25,905,774 ; 51,524,620 ;Febrero;2025
Monte Plata; 42,960,364 ; 49,698,757 ;Febrero;2025
Azua; 18,233,272 ; 21,224,122 ;Febrero;2025
Baní; 81,568,939 ; 48,536,412 ;Febrero;2025
Neyba; 8,262,505 ; 20,043,610 ;Febrero;2025
Barahona; 14,104,548 ; 13,669,029 ;Febrero;2025
San Juan de la Maguana ; 25,558,574 ; 45,779,508 ;Febrero;2025
Comendador; 13,884,599 ; 18,261,947 ;Febrero;2025
Nagua; 70,733,691 ; 66,146,861 ;Febrero;2025
Arenoso; 83,336,293 ; 18,465,900 ;Febrero;2025
Samaná; 12,058,720 ; 22,396,935 ;Febrero;2025
