DESTINO; CANTIDAD ; VALORES ;  TAREAS; BENEFICIADOS ;MES;AÑO
Arroz (Producción);157;53,208,707;11,487;157;Abril;2017
Arroz (Comercialización);21;358,997,814;0;21;Abril;2017
Aguacate (Producción);92;28,028,000;4,142;92;Abril;2017
Ají (Producción);21;16,953,350;539;21;Abril;2017
Café (Producción);16;7,980,000;1,709;16;Abril;2017
Café (Comercialización);1;800,000;0;1;Abril;2017
Cacao (Producción);74;41,189,000;10,667;74;Abril;2017
Cacao (Comercialización);12;29,492,000;0;12;Abril;2017
Habichuela (Producción);1;150,000;23;1;Abril;2017
Habichuela (Comercialización);0;0;0;0;Abril;2017
Plátano;71;37,388,900;7,387;71;Abril;2017
Guineo;17;8,405,600;1,011;17;Abril;2017
Maíz (Producción);14;1,545,000;1,072;14;Abril;2017
Maíz (Comercialización);0;0;0;0;Abril;2017
Yuca;15;1,920,000;617;15;Abril;2017
Yautía;10;1,282,000;282;10;Abril;2017
Tomate Industrial;2;400,000;33;2;Abril;2017
Tomate de Mesa;22;25,825,000;397;22;Abril;2017
Coco (Producción);5;800,000;246;5;Abril;2017
Coco (Comercialización);1;250,000;0;1;Abril;2017
Guandul (Producción);6;615,000;360;6;Abril;2017
Guandul (Comercialización);0;0;0;0;Abril;2017
Papa;15;10,850,000;480;15;Abril;2017
Piña;9;2,750,000;292;9;Abril;2017
Cebolla;11;8,200,000;439;11;Abril;2017
Ñame;15;1,925,000;411;15;Abril;2017
Ajo (Producción);0;0;0;0;Abril;2017
Ajo (Comercialización);0;0;0;0;Abril;2017
Batata;5;995,000;225;5;Abril;2017
Tabaco (Producción);1;100,000;30;1;Abril;2017
Tabaco (Comercialización);3;1,500,000;0;3;Abril;2017
Invernadero;3;19,971,372;11;3;Abril;2017
Otros Agrícolas;182;162,889,671;27,651;182;Abril;2017
Ganado de Carne;65;39,690,000;0;65;Abril;2017
Ganado de Carne (Com);6;4,330,000;0;6;Abril;2017
Ganado de Leche;25;23,365,128;0;25;Abril;2017
Ganado de Leche (Com.);1;100,000;0;1;Abril;2017
Ganado de Doble Propósito;61;57,919,000;0;61;Abril;2017
Porcino (Producción);52;15,231,900;0;52;Abril;2017
Porcino (Comercialización);0;0;0;0;Abril;2017
Otros Pecuarios;53;33,658,656;0;53;Abril;2017
Gallinas Ponedoras;5;3,000,000;0;5;Abril;2017
Pollos de Engorde;61;126,576,000;0;61;Abril;2017
Otros Avícolas;1;450,000;0;1;Abril;2017
Apícola;5;895,000;0;5;Abril;2017
Préstamos de Consumo;191;30,803,779;0;191;Abril;2017
Agro. Manufactura, Comercio V. y Otros;327;338,634,506;0;327;Abril;2017
Arroz (Producción);1,242;432,459,817;95,617;1,256;Mayo;2017
Arroz (Comercialización);23;406,177,260;0;23;Mayo;2017
Aguacate (Producción);77;33,550,000;4,926;77;Mayo;2017
Ají (Producción);26;23,497,000;19,056;26;Mayo;2017
Café (Producción);33;34,263,750;4,068;33;Mayo;2017
Café (Comercialización);1;800,000;0;1;Mayo;2017
Cacao (Producción);177;54,030,872;19,683;225;Mayo;2017
Cacao (Comercialización);4;3,325,000;0;4;Mayo;2017
Habichuela (Producción);0;0;0;0;Mayo;2017
Habichuela (Comercialización);6;230,000,000;0;6;Mayo;2017
Plátano;84;19,170,780;3,780;84;Mayo;2017
Guineo;12;3,433,000;515;12;Mayo;2017
Maíz (Producción);3;140,000;70;3;Mayo;2017
Maíz (Comercialización);0;0;0;0;Mayo;2017
Yuca;18;2,434,000;762;18;Mayo;2017
Yautía;22;3,212,000;759;22;Mayo;2017
