tipo_registro,anio,mes_numero,mes_nombre,periodo_fecha,sucursal_nombre,region,destino_nombre,rubro,tipo_operacion,cantidad_prestamos,valor_cartera_rd,tareas_financiadas,valor_area_rd,desembolsos_rd,cobros_rd,balance_neto_rd,cantidad_destino,valores_destino_rd,tareas_destino,beneficiados
Cartera prestamos,2017,4,Abril,2017-04-01,Arenoso,Cibao Nordeste,,,,879,294986541,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,4,Abril,2017-04-01,Azua,Sur,,,,1997,667047193,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,4,Abril,2017-04-01,Baní,Sur,,,,787,540722692,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,4,Abril,2017-04-01,Barahona,Sur,,,,2227,591274629,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,4,Abril,2017-04-01,Bonao,Cibao Nordeste,,,,686,476330535,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,4,Abril,2017-04-01,Comendador,Sur,,,,1955,370536761,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,4,Abril,2017-04-01,Constanza,Cibao Norte,,,,1297,813845347,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,4,Abril,2017-04-01,Cotuí,Cibao Nordeste,,,,1988,958347290,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,4,Abril,2017-04-01,Dajabón,Cibao Noroeste,,,,1173,463940619,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,4,Abril,2017-04-01,El Seibo,Este,,,,1218,332907974,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,4,Abril,2017-04-01,Hato Mayor,Este,,,,1162,644769173,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,4,Abril,2017-04-01,Higüey,Este,,,,1237,781090534,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,4,Abril,2017-04-01,La Vega,Cibao Norte,,,,1062,964552040,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,4,Abril,2017-04-01,Moca,Cibao Norte,,,,1035,636107675,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,4,Abril,2017-04-01,Monte Plata,Metropolitana,,,,1213,934192731,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,4,Abril,2017-04-01,Montecristí,Cibao Noroeste,,,,1143,1152371681,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,4,Abril,2017-04-01,Nagua,Cibao Nordeste,,,,1014,452449572,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,4,Abril,2017-04-01,Neyba,Sur,,,,1847,505476762,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,4,Abril,2017-04-01,Puerto Plata,Cibao Norte,,,,1956,572871697,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,4,Abril,2017-04-01,Río San Juan,Cibao Nordeste,,,,1012,430046927,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,4,Abril,2017-04-01,Salcedo,Cibao Nordeste,,,,969,404099016,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,4,Abril,2017-04-01,Samaná,Cibao Nordeste,,,,1319,311248848,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,4,Abril,2017-04-01,San Cristóbal,Sur,,,,1296,713252517,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,4,Abril,2017-04-01,San Francisco de Macorís,Cibao Nordeste,,,,913,700784022,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,4,Abril,2017-04-01,San José de Ocoa,Sur,,,,1171,1484599203,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,4,Abril,2017-04-01,San José de las Matas,Cibao Norte,,,,961,545124690,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,4,Abril,2017-04-01,San Juan de la Maguana,Sur,,,,4699,1361894391,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,4,Abril,2017-04-01,Santiago,Cibao Norte,,,,526,417238082,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,4,Abril,2017-04-01,Santiago Rodríguez,Cibao Noroeste,,,,1651,768870177,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,4,Abril,2017-04-01,Santo Domingo,Metropolitana,,,,2040,1712014824,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,4,Abril,2017-04-01,Valverde Mao,Cibao Noroeste,,,,1141,1223398460,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,4,Abril,2017-04-01,Villa Riva,Cibao Nordeste,,,,1115,379478549,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,5,Mayo,2017-05-01,Arenoso,Cibao Nordeste,,,,764,254138770,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,5,Mayo,2017-05-01,Azua,Sur,,,,2006,715042931,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,5,Mayo,2017-05-01,Baní,Sur,,,,794,548764605,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,5,Mayo,2017-05-01,Barahona,Sur,,,,2223,597758534,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,5,Mayo,2017-05-01,Bonao,Cibao Nordeste,,,,661,480161648,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,5,Mayo,2017-05-01,Comendador,Sur,,,,1930,366174045,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,5,Mayo,2017-05-01,Constanza,Cibao Norte,,,,1294,808127129,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,5,Mayo,2017-05-01,Cotuí,Cibao Nordeste,,,,1874,978406055,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,5,Mayo,2017-05-01,Dajabón,Cibao Noroeste,,,,1158,459700047,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,5,Mayo,2017-05-01,El Seibo,Este,,,,1248,339105819,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,5,Mayo,2017-05-01,Hato Mayor,Este,,,,1167,648008247,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,5,Mayo,2017-05-01,Higüey,Este,,,,1210,819256839,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,5,Mayo,2017-05-01,La Vega,Cibao Norte,,,,1000,969542466,0,0,0,0,0,0,0,0,0
Cartera prestamos,2017,5,Mayo,2017-05-01,Moca,Cibao Norte,,,,1040,645115714,0,0,0,0,0,0,0,0,0
